source_module,target_module,dependency_type,direction,strength,runtime_criticality,comments
scripts/run_tomics_multidataset_harvest_factorial.py,src/stomatal_optimiaztion/domains/tomato/tomics/alloc/validation/harvest_factorial.py,script-to-validation,forward,strong,high,Main multidataset harvest comparison entrypoint
scripts/run_tomics_multidataset_harvest_promotion_gate.py,src/stomatal_optimiaztion/domains/tomato/tomics/alloc/validation/cross_dataset_gate.py,script-to-gate,forward,strong,high,Applies multidataset gate thresholds and dataset-count requirements
src/stomatal_optimiaztion/domains/tomato/tomics/alloc/validation/datasets/registry.py,configs/data/tomics_multidataset_candidates/traitenv_candidate_registry.json,config-load,reverse,strong,high,Config rows define non-KNU dataset metadata and ingestion status
src/stomatal_optimiaztion/domains/tomato/tomics/alloc/validation/datasets/registry.py,src/stomatal_optimiaztion/domains/tomato/tomics/alloc/validation/data_contract.py,contract-load,forward,strong,high,KNU actual dataset is derived from the private data contract
src/stomatal_optimiaztion/domains/tomato/tomics/alloc/validation/datasets/metadata.py,src/stomatal_optimiaztion/domains/tomato/tomics/alloc/validation/datasets/contracts.py,contract-format,forward,strong,high,Metadata frame exposes status blockers review flags and derived-DW semantics
src/stomatal_optimiaztion/domains/tomato/tomics/alloc/validation/rootzone_inversion.py,data/fixtures/knu_rootzone_sanitized,fixture-read,reverse,medium,medium,Rootzone theta EC and slab-weight diagnostics are local-only fixture inputs
configs/plotkit/tomics,scripts/plot_*_png.py,spec-render,forward,medium,low,Reusable graph bundles are spec-first and PNG-only by repo contract
configs/exp/tomics_lane_matrix.yaml,src/stomatal_optimiaztion/domains/tomato/tomics/alloc/validation/lane_matrix/matrix_runner.py,config-to-runner,forward,strong,high,Builds lane-matrix scenario index scorecard and promotion/diagnostic surfaces
scripts/run_tomics_lane_matrix_gate.py,src/stomatal_optimiaztion/domains/tomato/tomics/alloc/validation/lane_matrix/lane_gate.py,script-to-gate,forward,strong,high,Applies lane-matrix guardrails including dataset-count and proxy thresholds
scripts/New-GitHubIssueBranch.ps1,scripts/GitHubProject.Common.ps1,workflow-helper,forward,strong,medium,Issue creation branch checkout labels and Project fields share the common helper library
scripts/New-GitHubPullRequest.ps1,scripts/GitHubProject.Common.ps1,workflow-helper,forward,strong,medium,PR creation and Validating status sync share the common helper library
